combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
359,60,60,60,60,48,48,48,48,36,36,36,36,36,36,36
360,60,60,60,60,48,48,48,36,36,36,36,36,36,36,36
361,60,60,60,60,48,48,36,36,36,36,36,36,36,36,36
362,60,60,60,60,48,36,36,36,36,36,36,36,36,36,36
363,60,60,60,60,36,36,36,36,36,36,36,36,36,36,36
364,60,60,60,54,54,54,54,54,54,54,54,54,54,54,54
365,60,60,60,54,54,54,54,54,54,54,54,54,54,54,48
366,60,60,60,54,54,54,54,54,54,54,54,54,54,54,36
367,60,60,60,54,54,54,54,54,54,54,54,54,54,48,48
368,60,60,60,54,54,54,54,54,54,54,54,54,54,48,36
369,60,60,60,54,54,54,54,54,54,54,54,54,54,36,36
370,60,60,60,54,54,54,54,54,54,54,54,54,48,48,48
371,60,60,60,54,54,54,54,54,54,54,54,54,48,48,36
372,60,60,60,54,54,54,54,54,54,54,54,54,48,36,36
373,60,60,60,54,54,54,54,54,54,54,54,54,36,36,36
374,60,60,60,54,54,54,54,54,54,54,54,48,48,48,48
375,60,60,60,54,54,54,54,54,54,54,54,48,48,48,36
376,60,60,60,54,54,54,54,54,54,54,54,48,48,36,36
377,60,60,60,54,54,54,54,54,54,54,54,48,36,36,36
378,60,60,60,54,54,54,54,54,54,54,54,36,36,36,36
379,60,60,60,54,54,54,54,54,54,54,48,48,48,48,48
380,60,60,60,54,54,54,54,54,54,54,48,48,48,48,36
381,60,60,60,54,54,54,54,54,54,54,48,48,48,36,36
382,60,60,60,54,54,54,54,54,54,54,48,48,36,36,36
383,60,60,60,54,54,54,54,54,54,54,48,36,36,36,36
384,60,60,60,54,54,54,54,54,54,54,36,36,36,36,36
385,60,60,60,54,54,54,54,54,54,48,48,48,48,48,48
386,60,60,60,54,54,54,54,54,54,48,48,48,48,48,36
387,60,60,60,54,54,54,54,54,54,48,48,48,48,36,36
388,60,60,60,54,54,54,54,54,54,48,48,48,36,36,36
389,60,60,60,54,54,54,54,54,54,48,48,36,36,36,36
390,60,60,60,54,54,54,54,54,54,48,36,36,36,36,36
391,60,60,60,54,54,54,54,54,54,36,36,36,36,36,36
392,60,60,60,54,54,54,54,54,48,48,48,48,48,48,48
393,60,60,60,54,54,54,54,54,48,48,48,48,48,48,36
